PlaceID,Name,SimplifiedChineseName,TradionalChineseName,Province/City,Source,Longtitude,Latitude,Area,DistrictByArea,DongByArea,LongtitudeByArea,LatitudeByArea,중문원문,문제종류
680,중앙대학교,中央大学,中央大學,Seoul,2015 외래관광객실태조사,126.9571012,37.5050881,중앙대학교,동작구,흑석동,126.9571012,37.5050881,,
681,경희대학교,庆熙大学,慶熙大學,Seoul,2015 외래관광객실태조사,127.0518435,37.5968367,경희대학교,동대문구,회기동,127.0518435,37.5968367,,
682,연세대학교,延世大学,延世大學,Seoul,2015 외래관광객실태조사,126.9387066,37.5663937,연세대학교,서대문구,신촌동,126.9387066,37.5663937,,
683,홍익대학교,弘益大学,弘益大學,Seoul,2015 외래관광객실태조사,126.9254901,37.5507563,홍익대학교,마포구,상수동,126.9254901,37.5507563,,
684,서강대학교,西江大学,西江大學,Seoul,2015 외래관광객실태조사,126.9410023,37.5509442,서강대학교,마포구,대흥동,126.9410023,37.5509442,,
685,건국대학교,建国大学,建國大學,Seoul,2015 외래관광객실태조사,127.0759204,37.5423265,건국대학교,광진구,화양동,127.0759204,37.5423265,,
686,김포,金浦,金浦,Gyeonggi,2015 외래관광객실태조사,126.6265338,37.6818227,김포시,김포시,통진읍,126.6265338,37.6818227,,
687,부천,富川,富川,Gyeonggi,2015 외래관광객실태조사,126.7886531,37.5042687,부천시,부천시,춘의동,126.7886531,37.5042687,,
688,을왕,乙旺,乙旺,Incheon,2015 외래관광객실태조사,126.3725042,37.4477331,을왕리해수욕장,중구,을왕동,126.3725042,37.4477331,,
689,인천시내,仁川市内,仁川市內,Incheon,2015 외래관광객실태조사,,,,,,,,,
690,인천하얏트호텔,仁川凯悦酒店,仁川凱悅酒店,Incheon,2015 외래관광객실태조사,126.4574508,37.4404925,그랜드 하얏트 인천,중구,운서동,126.4574508,37.4404925,,
691,베스트웨스턴호텔,贝斯特韦斯特饭店,貝斯特韋斯特飯店,,2015 외래관광객실태조사,,,,,,,,,
692,운서동,云西洞,雲西洞,Incheon,2015 외래관광객실태조사,126.4507804,37.4695092,운서동,중구,운서동,126.4507804,37.4695092,,
693,계양동,桂阳洞,桂陽洞,Incheon,2015 외래관광객실태조사,126.734707,37.5572857,계양구,계양구,방축동,126.734707,37.5572857,,
694,연수동,延寿洞,延壽洞,Incheon,2015 외래관광객실태조사,126.6832981,37.420418,연수동,연수구,연수동,126.6832981,37.420418,,
695,부평구,富平区,富平區,Incheon,2015 외래관광객실태조사,126.7212089,37.4966725,부평구,부평구,부평동,126.7212089,37.4966725,,
696,남동공단,南洞产业园地,南洞產業園地,Incheon,2015 외래관광객실태조사,126.726484,37.4310147,남동구,남동구,수산동,126.726484,37.4310147,,
697,간석동,间石洞,間石洞,Incheon,2015 외래관광객실태조사,126.7072025,37.4655363,간석동,남동구,간석동,126.7072025,37.4655363,,
698,주안동,朱安洞,朱安洞,Incheon,2015 외래관광객실태조사,126.6809956,37.4569758,주안동,미추홀구,주안동,126.6809956,37.4569758,,
699,인천검단,仁川黔丹,仁川黔丹,Incheon,2015 외래관광객실태조사,126.6522426,37.6121724,검단동,서구,금곡동,126.6522426,37.6121724,,
700,보문사,普门寺,普門寺,,2015 외래관광객실태조사,,,,,,,,,
701,흥륜사,兴轮寺,興輪寺,Incheon,2015 외래관광객실태조사,126.6595568,37.4161587,흥륜사,연수구,동춘동,126.6595568,37.4161587,,
702,인하대학교병원,仁荷大学医院,仁荷大學醫院,Incheon,2015 외래관광객실태조사,126.6341172,37.4588197,인하대학교병원,중구,신흥동3가,126.6341172,37.4588197,,
703,인천공항호텔,仁川机场饭店,仁川機場飯店,Incheon,2015 외래관광객실태조사,,,,,,,,,
704,인천월드컵경기장,仁川世界杯体育场,仁川世界盃體育場,Incheon,2015 외래관광객실태조사,126.6430109,37.4660127,인천월드컵경기장,미추홀구,도원동,126.6430109,37.4660127,,
705,인천문학경기장,仁川文鹤体育场,仁川文鶴體育場,Incheon,2015 외래관광객실태조사,126.6907212,37.4350619,인천문학경기장,미추홀구,문학동,126.6907212,37.4350619,,
706,아시안게임경기장/아시안게임참가,仁川亚运主体育场,仁川亞運主體育場,Incheon,2015 외래관광객실태조사,126.6665509,37.5475394,인천아시아드주경기장,서구,연희동,126.6665509,37.5475394,,
707,인천대공원,仁川大公园,仁川大公園,Incheon,2015 외래관광객실태조사,126.7522197,37.459244,인천대공원,남동구,장수동,126.7522197,37.459244,,
708,인천항,仁川港,仁川港,Incheon,2015 외래관광객실태조사,126.6256454,37.4594575,인천항,중구,항동7가,126.6256454,37.4594575,,
709,인천대학교,仁川大学,仁川大學,Incheon,2015 외래관광객실태조사,126.6322345,37.3749658,인천대학교,연수구,송도동,126.6322345,37.3749658,,
710,인하대학교,仁荷大学,仁荷大學,Incheon,2015 외래관광객실태조사,126.653488,37.4500221,인하대학교,미추홀구,용현동,126.653488,37.4500221,,
711,시흥시,始兴市,始興市,Gyeonggi,2015 외래관광객실태조사,126.7841675,37.3864796,시흥시,시흥시,장곡동,126.7841675,37.3864796,,
712,일산시,一山市,一山市,Gyeonggi,2015 외래관광객실태조사,126.7711774,37.6783756,일산,고양시 일산서구,일산동,126.7711774,37.6783756,,
713,용인시,龙仁市,龍仁市,Gyeonggi,2015 외래관광객실태조사,127.2218612,37.2214872,용인시,용인시 처인구,남동,127.2218612,37.2214872,,
714,동탄시,东滩市,東灘市,Gyeonggi,2015 외래관광객실태조사,127.0970177,37.199327,동탄역,화성시,오산동,127.0970177,37.199327,,
715,동두천,东豆川,東豆川,Gyeonggi,2015 외래관광객실태조사,127.0779171,37.916543,동두천시,동두천시,걸산동,127.0779171,37.916543,,
716,남양주,南杨州,南楊州,Gyeonggi,2015 외래관광객실태조사,127.2436632,37.6625097,남양주시,남양주시,호평동,127.2436632,37.6625097,,
717,안양시,安阳市,安陽市,Gyeonggi,2015 외래관광객실태조사,126.9279179,37.4027313,안양시,안양시 동안구,비산동,126.9279179,37.4027313,,
718,화성시,华城市,華城市,Gyeonggi,2015 외래관광객실태조사,126.8654604,37.1616306,화성시,화성시,팔탄면,126.8654604,37.1616306,,
719,안산시,安山市,安山市,Gyeonggi,2015 외래관광객실태조사,126.8308848,37.3218778,안산시,안산시 단원구,고잔동,126.8308848,37.3218778,,
720,성남시,城南市,城南市,Gyeonggi,2015 외래관광객실태조사,127.1162181,37.4073695,성남시,성남시 분당구,삼평동,127.1162181,37.4073695,,
721,청평,清平,清平,Gyeonggi,2015 외래관광객실태조사,127.4293452,37.7297832,청평면,가평군,청평면,127.4293452,37.7297832,,
722,서현,西贤,西賢,Gyeonggi,2015 외래관광객실태조사,127.1344396,37.3822656,서현동,성남시 분당구,서현동,127.1344396,37.3822656,,
723,송탄,松炭,松炭,Gyeonggi,2015 외래관광객실태조사,127.0514265,37.0841853,송탄,평택시,신장동,127.0514265,37.0841853,,
724,의왕시,义王市,義王市,Gyeonggi,2015 외래관광객실태조사,126.9896996,37.3624626,의왕시,의왕시,오전동,126.9896996,37.3624626,,
725,군포,军浦,軍浦,Gyeonggi,2015 외래관광객실태조사,126.9211003,37.3434691,군포시,군포시,산본동,126.9211003,37.3434691,,
726,오산,乌山,烏山,Gyeonggi,2015 외래관광객실태조사,127.0513324,37.1632991,오산시,오산시,궐동,127.0513324,37.1632991,,
727,기흥,器兴,器興,Gyeonggi,2015 외래관광객실태조사,127.1213604,37.2674312,기흥구,용인시 기흥구,상갈동,127.1213604,37.2674312,,
728,광주(경기),光州（京畿道）,光州（京畿道）,Gyeonggi,2015 외래관광객실태조사,127.3011624,37.4030854,경기 광주시,광주시,초월읍,127.3011624,37.4030854,,
729,분당,盆唐,盆唐,Gyeonggi,2015 외래관광객실태조사,127.1060411,37.3793356,분당구,성남시 분당구,정자동,127.1060411,37.3793356,,
730,안성,安城,安城,Gyeonggi,2015 외래관광객실태조사,127.3027301,37.035033,안성시,안성시,보개면,127.3027301,37.035033,,
731,의정부,议政府,議政府,Gyeonggi,2015 외래관광객실태조사,127.0684356,37.7361884,의정부시,의정부시,신곡동,127.0684356,37.7361884,,
732,죽전,竹田,竹田,Gyeonggi,2015 외래관광객실태조사,127.1234646,37.3295528,죽전동,용인시 수지구,죽전동,127.1234646,37.3295528,,
733,판교,板桥,板橋,Gyeonggi,2015 외래관광객실태조사,127.11116,37.394776,판교역,성남시 분당구,백현동,127.11116,37.394776,,
734,성남서울공항,城南首尔机场,城南首爾機場,Gyeonggi,2015 외래관광객실태조사,127.1078131,37.4449885,성남서울공항,성남시 수정구,심곡동,127.1078131,37.4449885,,
735,과천,果川,果川,Gyeonggi,2015 외래관광객실태조사,127.0027656,37.4338294,과천시,과천시,막계동,127.0027656,37.4338294,,
736,광명,光明,光明,Gyeonggi,2015 외래관광객실태조사,126.8646989,37.4451612,광명시,광명시,하안동,126.8646989,37.4451612,,
737,평촌,坪村,坪村,Gyeonggi,2015 외래관광객실태조사,126.9680004,37.3887438,평촌동,안양시 동안구,평촌동,126.9680004,37.3887438,,
738,서촌,西村,西村,Seoul,2015 외래관광객실태조사,126.968313,37.5814263,서촌,종로구,옥인동,126.968313,37.5814263,,
739,장안동,长安洞,長安洞,Seoul,2015 외래관광객실태조사,127.0700249,37.570207,장안동,동대문구,장안동,127.0700249,37.570207,,
740,한림대학병원,翰林大学医院,翰林大學醫院,,2015 외래관광객실태조사,,,,,,,,,
741,숭실대학교,崇实大学,崇實大學,Seoul,2015 외래관광객실태조사,126.9572222,37.4963538,숭실대학교,동작구,상도동,126.9572222,37.4963538,,
742,용산공원,龙山公园,龍山公園,Seoul,2015 외래관광객실태조사,126.9839378,37.5211389,용산가족공원,용산구,용산동6가,126.9839378,37.5211389,,
743,모던뮤지엄,现代美术馆,現代美術館,,2015 외래관광객실태조사,,,,,,,,,
744,동작구,铜雀区,銅雀區,Seoul,2015 외래관광객실태조사,126.9516345,37.4988794,동작구,동작구,상도동,126.9516345,37.4988794,,
745,마장동,马场洞,馬場洞,Seoul,2015 외래관광객실태조사,127.040228,37.5669747,마장동,성동구,마장동,127.040228,37.5669747,,
746,석촌동,石村洞,石村洞,Seoul,2015 외래관광객실태조사,127.1026694,37.5024352,석촌동,송파구,석촌동,127.1026694,37.5024352,,
747,염창동,盐仓洞,鹽倉洞,Seoul,2015 외래관광객실태조사,126.8707482,37.5527315,염창동,강서구,염창동,126.8707482,37.5527315,,
748,사당동,舍堂洞,舍堂洞,Seoul,2015 외래관광객실태조사,126.9772568,37.4798074,사당동,동작구,사당동,126.9772568,37.4798074,,
749,대치동,大峙洞,大峙洞,Seoul,2015 외래관광객실태조사,127.0633458,37.4991887,대치동,강남구,대치동,127.0633458,37.4991887,,
750,수유동,水踰洞,水踰洞,Seoul,2015 외래관광객실태조사,127.0073721,37.6383275,수유동,강북구,수유동,127.0073721,37.6383275,,
751,천호동,千户洞,千戶洞,Seoul,2015 외래관광객실태조사,127.1276202,37.5443765,천호동,강동구,천호동,127.1276202,37.5443765,,
752,망원동,望远洞,望遠洞,Seoul,2015 외래관광객실태조사,126.8998606,37.5554884,망원동,마포구,망원동,126.8998606,37.5554884,,
753,장충동,奖忠洞,獎忠洞,Seoul,2015 외래관광객실태조사,127.0035937,37.5580498,장충동,중구,장충동2가,127.0035937,37.5580498,,
754,구기동,旧基洞,舊基洞,Seoul,2015 외래관광객실태조사,126.9592855,37.6193848,구기동,종로구,구기동,126.9592855,37.6193848,,
755,오금동,梧琴洞,梧琴洞,Seoul,2015 외래관광객실태조사,127.1344585,37.5041934,오금동,송파구,오금동,127.1344585,37.5041934,,
756,중랑구,中浪区,中浪區,Seoul,2015 외래관광객실태조사,127.0928927,37.5978139,중랑구,중랑구,망우동,127.0928927,37.5978139,,
757,신촌 세브란스병원,延世大学 新村世福兰斯医院,延世大學 新村世福蘭斯醫院,Seoul,2015 외래관광객실태조사,126.9408692,37.5623371,연세세브란스병원,서대문구,신촌동,126.9408692,37.5623371,,
