CompanionID,VisitID,CompanionType
673,1645,혼자 왔다
674,1647,혼자 왔다
675,1652,혼자 왔다
676,1653,혼자 왔다
677,1663,혼자 왔다
678,1665,혼자 왔다
679,1666,혼자 왔다
680,1670,혼자 왔다
681,1671,혼자 왔다
682,1672,혼자 왔다
683,1674,혼자 왔다
684,1676,혼자 왔다
685,1677,혼자 왔다
686,1678,혼자 왔다
687,1680,혼자 왔다
688,1681,혼자 왔다
689,1683,혼자 왔다
690,1688,혼자 왔다
691,1693,혼자 왔다
692,1699,혼자 왔다
693,1700,혼자 왔다
694,1706,혼자 왔다
695,1707,혼자 왔다
696,1711,혼자 왔다
697,1714,혼자 왔다
698,1718,혼자 왔다
699,1728,혼자 왔다
700,1732,혼자 왔다
701,1735,혼자 왔다
702,1739,혼자 왔다
703,1741,혼자 왔다
704,1742,혼자 왔다
705,1743,혼자 왔다
706,1744,혼자 왔다
707,1746,혼자 왔다
708,1747,혼자 왔다
709,1748,혼자 왔다
710,1749,혼자 왔다
711,1750,혼자 왔다
712,1752,혼자 왔다
713,1754,혼자 왔다
714,1755,혼자 왔다
715,1758,혼자 왔다
716,1776,혼자 왔다
717,1777,혼자 왔다
718,1778,혼자 왔다
719,1779,혼자 왔다
720,1781,혼자 왔다
721,1782,혼자 왔다
722,1783,혼자 왔다
723,1793,혼자 왔다
724,1799,혼자 왔다
725,1800,혼자 왔다
726,1803,혼자 왔다
727,1808,혼자 왔다
728,1815,혼자 왔다
729,1816,혼자 왔다
730,1817,혼자 왔다
731,1818,혼자 왔다
732,1821,혼자 왔다
733,1823,혼자 왔다
734,1825,혼자 왔다
735,1827,혼자 왔다
736,1828,혼자 왔다
737,1832,혼자 왔다
738,1834,혼자 왔다
739,1836,혼자 왔다
740,1837,혼자 왔다
741,1838,혼자 왔다
742,1840,혼자 왔다
743,1841,혼자 왔다
744,1846,혼자 왔다
745,1847,혼자 왔다
746,1850,혼자 왔다
747,1852,혼자 왔다
748,1853,혼자 왔다
