OtherVisitID,VisitID,VisitCountry,BeforeAfterKoreaType
886,467,홍콩,After
887,470,기타,After
888,505,일본,After
889,507,일본,After
890,512,태국,After
891,526,일본,After
892,530,중국,After
893,535,기타,After
894,668,기타,After
895,685,기타,After
896,696,태국,After
897,718,태국,After
898,741,중국,After
899,749,호주,After
900,785,미국,After
901,787,기타,After
902,791,중국,After
903,800,프랑스,After
904,920,미국,After
905,958,기타,After
906,1108,태국,After
907,1119,일본,After
908,1158,일본,After
909,1162,홍콩,After
910,1163,기타,After
911,1185,싱가포르,After
912,1190,중국,After
913,1236,영국,After
914,1251,홍콩,After
915,1256,기타,After
916,1261,미국,After
917,1286,태국,After
918,1318,싱가포르,After
919,1319,홍콩,After
920,1326,일본,After
921,1358,싱가포르,After
922,1362,싱가포르,After
923,1489,대만,After
924,1503,일본,After
925,1504,태국,After
926,1506,일본,After
927,1517,중국,After
928,1530,일본,After
929,1532,독일,After
930,1543,기타,After
931,1563,중국,After
932,1565,홍콩,After
933,1581,일본,After
934,1585,일본,After
935,1594,일본,After
936,1611,싱가포르,After
937,1612,일본,After
938,1614,싱가포르,After
939,1619,태국,After
940,1652,중국,After
941,1665,기타,After
942,1678,싱가포르,After
943,1729,일본,After
944,1732,영국,After
945,1743,중국,After
946,1748,태국,After
947,1777,중국,After
948,1826,홍콩,After
949,1842,일본,After
950,1854,일본,After
951,2008,중국,After
952,2032,싱가포르,After
953,2034,기타,After
954,2037,태국,After
955,2038,중국,After
956,2045,홍콩,After
957,2046,중국,After
958,2058,미국,After
959,2112,일본,After
960,2116,일본,After
961,2133,기타,After
962,2252,일본,After
963,2299,기타,After
964,2304,대만,After
965,2310,일본,After
966,2312,일본,After
967,2317,일본,After
968,2318,일본,After
969,2319,일본,After
970,2320,독일,After
971,2330,일본,After
972,2331,중국,After
973,2345,싱가포르,After
974,2356,영국,After
975,2381,기타,After
976,2427,영국,After
977,2447,중국,After
978,2578,대만,After
979,2604,중국,After
980,2611,중국,After
981,2686,일본,After
982,2689,태국,After
983,2700,중국,After
984,2702,싱가포르,After
985,2740,중국,After
986,2748,태국,After
987,2751,중국,After
988,2757,일본,After
989,2762,홍콩,After
990,2763,홍콩,After
991,2796,일본,After
992,2808,기타,After
993,2834,미국,After
994,2857,기타,After
995,2927,기타,After
996,3022,태국,After
997,3026,대만,After
998,3049,일본,After
999,3050,일본,After
1000,3051,대만,After
1001,3056,태국,After
1002,3067,기타,After
1003,3079,중국,After
1004,3093,독일,After
1005,3195,싱가포르,After
1006,3196,대만,After
1007,3202,중국,After
1008,3210,대만,After
1009,3211,태국,After
1010,3228,기타,After
1011,3232,홍콩,After
1012,3237,호주,After
1013,3260,중국,After
1014,3282,미국,After
1015,3342,대만,After
1016,3345,영국,After
1017,3350,일본,After
1018,3351,중국,After
1019,3372,일본,After
1020,3411,미국,After
1021,3463,독일,After
1022,3489,홍콩,After
1023,3492,중국,After
1024,3521,기타,After
1025,3635,중국,After
1026,3636,기타,After
1027,3660,일본,After
1028,3668,일본,After
1029,3672,중국,After
1030,3674,일본,After
1031,3675,대만,After
1032,3733,홍콩,After
1033,3738,중국,After
1034,3755,싱가포르,After
1035,3757,기타,After
1036,3806,기타,After
1037,3807,기타,After
1038,3816,홍콩,After
1039,3824,영국,After
1040,3838,홍콩,After
